hourEnding,dstFlag,currentLoadForecast,dayAheadForecast,dayAheadHsl,timestamp,epoch
1,N,49120.0704,48734.0103,68625.3,2025-04-18 01:00:00-0500,1744956000000
2,N,47157.7402,46668.4329,68621.0,2025-04-18 02:00:00-0500,1744959600000
3,N,45690.1893,45193.3793,67980.5,2025-04-18 03:00:00-0500,1744963200000
4,N,44722.4407,44335.7916,67210.1,2025-04-18 04:00:00-0500,1744966800000
5,N,44368.1693,44006.8726,66644.8,2025-04-18 05:00:00-0500,1744970400000
6,N,44860.8705,44508.0516,66503.6,2025-04-18 06:00:00-0500,1744974000000
7,N,46011.4005,45530.5033,66910.4,2025-04-18 07:00:00-0500,1744977600000
8,N,47009.2797,46290.5747,67093.4,2025-04-18 08:00:00-0500,1744981200000
9,N,48916.5306,48471.0264,71852.4,2025-04-18 09:00:00-0500,1744984800000
10,N,51490.3396,51412.3334,76001.1,2025-04-18 10:00:00-0500,1744988400000
11,N,53847.7604,53943.2113,78764.7,2025-04-18 11:00:00-0500,1744992000000
12,N,56009.0201,56484.0151,81374.8,2025-04-18 12:00:00-0500,1744995600000
13,N,58353.7794,59110.047,83528.5,2025-04-18 13:00:00-0500,1744999200000
14,N,60708.5791,61517.3007,86099.0,2025-04-18 14:00:00-0500,1745002800000
15,N,63005.6586,63707.1132,87657.3,2025-04-18 15:00:00-0500,1745006400000
16,N,64538.26,65075.8969,88375.4,2025-04-18 16:00:00-0500,1745010000000
17,N,65326.7986,65659.2643,87939.3,2025-04-18 17:00:00-0500,1745013600000
18,N,65118.2395,65198.6016,85902.4,2025-04-18 18:00:00-0500,1745017200000
19,N,63291.9291,63146.1284,81740.7,2025-04-18 19:00:00-0500,1745020800000
20,N,61161.0009,60891.9325,76902.9,2025-04-18 20:00:00-0500,1745024400000
21,N,59963.8811,59605.3271,74842.0,2025-04-18 21:00:00-0500,1745028000000
22,N,58175.501,57786.9307,74960.5,2025-04-18 22:00:00-0500,1745031600000
23,N,55914.1096,55505.6836,73477.7,2025-04-18 23:00:00-0500,1745035200000
24,N,53283.4198,52862.8059,71962.1,2025-04-19 00:00:00-0500,1745038800000
